 Day:+25, З 1м/с, 746,  Evening:+23, 744
 Day:+21, З 3м/с, 748,  Evening:+15, 749
 Day:+17, З 2м/с, 755,  Evening:+13, 755
 Day:+13, С 1м/с, 752,  Evening:+9, 749
 Day:+14, З 3м/с, 747,  Evening:+12, 748
 Day:+10, В 1м/с, 745,  Evening:+9, 746
 Day:+14, ЮЗ 3м/с, 749,  Evening:+12, 749
 Day:+13, ЮЗ 4м/с, 749,  Evening:+10, 749
 Day:+13, СЗ 3м/с, 749,  Evening:+9, 751
 Day:+12, СЗ 2м/с, 754,  Evening:+8, 755
 Day:+13, З 2м/с, 755,  Evening:+11, 755
 Day:+14, В 2м/с, 755,  Evening:+12, 755
 Day:+18, В 2м/с, 752,  Evening:+16, 752
 Day:+18, В 2м/с, 748,  Evening:+12, 747
 Day:+16, ЮВ 1м/с, 743,  Evening:+13, 743
 Day:+18, Ю 1м/с, 743,  Evening:+14, 743
 Day:+20, Ю 1м/с, 742,  Evening:+16, 744
 Day:+21, В 2м/с, 748,  Evening:+19, 746
 Day:+27, Ю 2м/с, 746,  Evening:+23, 747
 Day:+16, З 1м/с, 751,  Evening:+15, 751
 Day:+17, В 2м/с, 749,  Evening:+19, 749
 Day:+26, В 1м/с, 748,  Evening:+20, 747
 Day:+24, В 3м/с, 743,  Evening:+20, 743
 Day:+17, ЮЗ 3м/с, 745,  Evening:+13, 746
 Day:+11, Ш, 742,  Evening:+10, 742
 Day:+11, З 2м/с, 746,  Evening:+9, 748
 Day:+13, З 1м/с, 752,  Evening:+11, 752
 Day:+10, В 4м/с, 748,  Evening:+10, 746
 Day:+12, В 1м/с, 746,  Evening:+11, 748
 Day:+28, СЗ 2м/с, 748,  Evening:+23, 749
 Day:+27, С 2м/с, 749,  Evening:+24, 749
 Day:+28, С 2м/с, 751,  Evening:+25, 752
 Day:+30, СВ 1м/с, 753,  Evening:+24, 753
 Day:+31, СЗ 1м/с, 754,  Evening:+24, 754
 Day:+30, В 2м/с, 754,  Evening:+23, 753
 Day:+31, З 2м/с, 752,  Evening:+23, 752
 Day:+32, С 2м/с, 752,  Evening:+25, 752
 Day:+30, С 1м/с, 752,  Evening:+22, 752
 Day:+32, З 2м/с, 751,  Evening:+26, 752
 Day:+29, С 2м/с, 753,  Evening:+23, 754
 Day:+27, З 2м/с, 755,  Evening:+20, 755
 Day:+29, СЗ 2м/с, 752,  Evening:+24, 752
 Day:+29, С 1м/с, 752,  Evening:+23, 753
 Day:+27, СВ 3м/с, 754,  Evening:+23, 754
 Day:+28, СВ 3м/с, 755,  Evening:+24, 755
 Day:+29, В 2м/с, 753,  Evening:+25, 752
