2009-12-01, Day:+3, СЗ 1м/с, 758,  Evening:+1, 761
2009-12-02, Day:+1, Ю 2м/с, 762,  Evening:+1, 761
2009-12-03, Day:+1, З 4м/с, 755,  Evening:+1, 753
2009-12-04, Day:0, З 3м/с, 752,  Evening:0, 753
2009-12-05, Day:-3, СВ 3м/с, 759,  Evening:-5, 759
2009-12-06, Day:-8, С 1м/с, 763,  Evening:-12, 765
2009-12-07, Day:-12, В 2м/с, 766,  Evening:-12, 766
2009-12-08, Day:-9, З 3м/с, 765,  Evening:-10, 764
2009-12-09, Day:-8, З 3м/с, 760,  Evening:-9, 759
2009-12-10, Day:-7, Ш, 761,  Evening:-9, 762
2009-12-11, Day:-10, В 1м/с, 762,  Evening:-12, 761
2009-12-12, Day:-10, В 2м/с, 758,  Evening:-10, 756
2009-12-13, Day:-9, В 1м/с, 747,  Evening:-9, 744
2009-12-14, Day:-11, С 1м/с, 747,  Evening:-19, 750
2009-12-15, Day:-23, С 2м/с, 754,  Evening:-25, 753
2009-12-16, Day:-24, СЗ 1м/с, 755,  Evening:-28, 758
2009-12-17, Day:-25, Ш, 761,  Evening:-26, 761
2009-12-18, Day:-22, Ш, 755,  Evening:-20, 753
2009-12-19, Day:-13, СВ 2м/с, 751,  Evening:-16, 752
2009-12-20, Day:-15, СВ 1м/с, 755,  Evening:-16, 756
2009-12-21, Day:-11, В 3м/с, 755,  Evening:-8, 753
2009-12-22, Day:-7, ЮВ 1м/с, 753,  Evening:-6, 756
2009-12-23, Day:-12, Ш, 764,  Evening:-14, 764
2009-12-24, Day:-9, Ю 3м/с, 761,  Evening:-8, 759
2009-12-25, Day:-4, Ю 3м/с, 756,  Evening:-4, 755
2009-12-26, Day:-3, Ш, 752,  Evening:-3, 750
2009-12-27, Day:-2, ЮВ 5м/с, 740,  Evening:-1, 737
2009-12-28, Day:+1, ЮЗ 4м/с, 744,  Evening:-1, 753
2009-12-29, Day:-2, В 2м/с, 742,  Evening:0, 739
2009-12-30, Day:-2, ЮВ 2м/с, 741,  Evening:-1, 741
2009-11-01, Day:0, З 3м/с, 750,  Evening:-2, 751
2009-11-02, Day:-1, СВ 2м/с, 753,  Evening:-3, 754
2009-11-03, Day:-3, С 2м/с, 754,  Evening:-6, 754
2009-11-04, Day:-4, СВ 2м/с, 754,  Evening:-3, 754
