2010-12-01, Day:-17, СЗ 4м/с, 741,  Evening:-21, 746
2010-12-02, Day:-19, СЗ 1м/с, 756,  Evening:-21, 761
2010-12-03, Day:-16, ЮВ 1м/с, 767,  Evening:-16, 767
2010-12-04, Day:-7, ЮВ 4м/с, 761,  Evening:-4, 758
2010-12-05, Day:-2, Ю 1м/с, 752,  Evening:0, 750
2010-12-06, Day:0, ЮВ 2м/с, 745,  Evening:+1, 745
2010-12-07, Day:-6, Ш, 753,  Evening:-5, 754
2010-12-08, Day:-4, Ю 2м/с, 753,  Evening:-4, 752
2010-12-09, Day:-1, ЮВ 1м/с, 750,  Evening:-1, 750
2010-12-10, Day:0, В 3м/с, 747,  Evening:0, 746
2010-12-11, Day:+2, В 4м/с, 746,  Evening:0, 748
2010-12-12, Day:-3, В 3м/с, 749,  Evening:-4, 749
2010-12-13, Day:-3, В 4м/с, 746,  Evening:-3, 745
2010-12-14, Day:-2, ЮВ 2м/с, 745,  Evening:-2, 746
2010-12-15, Day:-3, ЮЗ 2м/с, 749,  Evening:-2, 749
2010-12-16, Day:-5, ЮЗ 5м/с, 751,  Evening:-5, 751
2010-12-17, Day:-4, Ш, 751,  Evening:-9, 752
2010-12-18, Day:-11, СВ 1м/с, 752,  Evening:-12, 752
2010-12-19, Day:-11, В 2м/с, 755,  Evening:-13, 755
2010-12-20, Day:-12, ЮВ 4м/с, 754,  Evening:-10, 754
2010-12-21, Day:-5, В 3м/с, 756,  Evening:-3, 752
2010-12-22, Day:-2, Ш, 753,  Evening:-4, 753
2010-12-23, Day:-5, Ш, 751,  Evening:-8, 751
2010-12-24, Day:-10, В 1м/с, 757,  Evening:-11, 755
2010-12-25, Day:-2, Ш, 750,  Evening:+1, 749
2010-12-26, Day:+2, ЮВ 1м/с, 749,  Evening:0, 751
2010-12-27, Day:+3, Ю 1м/с, 749,  Evening:+3, 749
2010-12-28, Day:+1, Ш, 752,  Evening:-4, 755
2010-12-29, Day:-5, В 2м/с, 760,  Evening:-6, 761
2010-12-30, Day:+1, В 5м/с, 761,  Evening:-1, 760
2010-11-01, Day:0, С 2м/с, 755,  Evening:-3, 754
2010-11-02, Day:+3, З 2м/с, 750,  Evening:+3, 750
2010-11-03, Day:+6, З 1м/с, 752,  Evening:+6, 754
2010-11-04, Day:+8, Ю 2м/с, 750,  Evening:+8, 745
2010-11-05, Day:+8, З 3м/с, 739,  Evening:+6, 737
2010-11-06, Day:+4, СЗ 2м/с, 735,  Evening:+4, 738
2010-11-07, Day:+2, СВ 1м/с, 739,  Evening:+1, 743
2010-11-08, Day:+5, Ю 1м/с, 754,  Evening:+4, 755
2010-11-09, Day:+3, ЮВ 2м/с, 755,  Evening:+4, 755
2010-11-10, Day:+7, ЮВ 1м/с, 755,  Evening:+6, 755
2010-11-11, Day:+8, Ю 2м/с, 750,  Evening:+6, 749
2010-11-12, Day:+6, Ю 1м/с, 746,  Evening:+6, 746
2010-11-13, Day:+8, ЮЗ 3м/с, 740,  Evening:+9, 740
2010-11-14, Day:+9, З 4м/с, 741,  Evening:+8, 744
2010-11-15, Day:+7, З 2м/с, 754,  Evening:+7, 755
2010-11-16, Day:+13, З 4м/с, 752,  Evening:+10, 751
2010-11-17, Day:+9, Ш, 754,  Evening:+7, 757
2010-11-18, Day:+1, В 2м/с, 766,  Evening:-2, 767
2010-11-19, Day:+1, В 2м/с, 765,  Evening:-2, 763
2010-11-20, Day:+1, ЮЗ 2м/с, 755,  Evening:0, 755
2010-11-21, Day:-5, В 3м/с, 758,  Evening:-7, 757
2010-11-22, Day:-4, Ю 2м/с, 752,  Evening:-2, 750
2010-11-23, Day:0, Ш, 749,  Evening:0, 749
2010-11-24, Day:+2, Ю 2м/с, 749,  Evening:0, 749
2010-11-25, Day:+8, ЮЗ 3м/с, 743,  Evening:+7, 744
2010-11-26, Day:+3, З 3м/с, 744,  Evening:+1, 747
2010-11-27, Day:-1, В 3м/с, 746,  Evening:0, 742
2010-11-28, Day:-1, СЗ 4м/с, 740,  Evening:-1, 743
2010-11-29, Day:-2, З 2м/с, 752,  Evening:-4, 752
2010-10-01, Day:+7, СВ 3м/с, 746,  Evening:+5, 747
2010-10-02, Day:+9, СВ 3м/с, 751,  Evening:+4, 753
2010-10-03, Day:+6, З 2м/с, 758,  Evening:+2, 760
2010-10-04, Day:+5, СЗ 2м/с, 761,  Evening:+3, 761
2010-10-05, Day:+3, СВ 1м/с, 761,  Evening:+3, 761
2010-10-06, Day:+5, СВ 1м/с, 761,  Evening:+4, 761
2010-10-07, Day:+11, З 2м/с, 760,  Evening:+8, 760
2010-10-08, Day:+13, СЗ 1м/с, 761,  Evening:+6, 761
2010-10-09, Day:+14, В 1м/с, 757,  Evening:+5, 755
2010-10-10, Day:+14, З 1м/с, 751,  Evening:+10, 750
2010-10-11, Day:+14, Ю 3м/с, 745,  Evening:+11, 744
