2012-12-01, Day:+4, ЮЗ 1м/с, 749,  Evening:+5, 750
2012-12-02, Day:+4, В 2м/с, 749,  Evening:+6, 745
2012-12-03, Day:+2, СЗ 2м/с, 749,  Evening:0, 750
2012-12-04, Day:+2, В 4м/с, 742,  Evening:+5, 739
2012-12-05, Day:+3, С 1м/с, 744,  Evening:+1, 747
2012-12-06, Day:-1, СВ 2м/с, 751,  Evening:-3, 751
2012-12-07, Day:+1, В 3м/с, 749,  Evening:0, 749
2012-12-08, Day:0, В 2м/с, 754,  Evening:0, 756
2012-12-09, Day:-2, В 2м/с, 761,  Evening:-3, 762
2012-12-10, Day:-6, В 2м/с, 765,  Evening:-9, 766
2012-12-11, Day:-12, В 2м/с, 766,  Evening:-13, 767
2012-12-12, Day:-11, В 2м/с, 769,  Evening:-11, 769
2012-12-13, Day:-12, В 4м/с, 774,  Evening:-14, 774
2012-12-14, Day:-12, СВ 1м/с, 775,  Evening:-13, 775
2012-12-15, Day:-12, С 1м/с, 777,  Evening:-15, 775
2012-12-16, Day:-10, СВ 2м/с, 768,  Evening:-15, 768
2012-12-17, Day:-14, ЮВ 2м/с, 770,  Evening:-16, 771
2012-12-18, Day:-15, В 2м/с, 774,  Evening:-17, 775
2012-12-19, Day:-15, В 1м/с, 776,  Evening:-16, 775
2012-12-20, Day:-15, В 3м/с, 772,  Evening:-15, 770
2012-12-21, Day:-11, СВ 2м/с, 763,  Evening:-14, 761
2012-12-22, Day:-15, С 1м/с, 757,  Evening:-18, 757
2012-12-23, Day:-22, СЗ 3м/с, 756,  Evening:-23, 756
2012-12-24, Day:-18, СЗ 2м/с, 760,  Evening:-18, 761
2012-12-25, Day:-13, Ш, 763,  Evening:-14, 763
2012-12-26, Day:-9, ЮЗ 3м/с, 756,  Evening:-7, 752
2012-12-27, Day:-5, ЮЗ 3м/с, 752,  Evening:-5, 749
2012-12-28, Day:+2, ЮЗ 2м/с, 749,  Evening:+1, 751
2012-12-29, Day:-3, Ю 2м/с, 749,  Evening:-2, 748
2012-12-30, Day:-9, З 1м/с, 746,  Evening:-9, 746
2012-11-01, Day:+6, З 1м/с, 756,  Evening:+3, 757
2012-11-02, Day:+1, С 1м/с, 758,  Evening:+1, 759
2012-11-03, Day:+4, З 2м/с, 757,  Evening:0, 756
2012-11-04, Day:+2, ЮЗ 3м/с, 754,  Evening:+3, 754
2012-11-05, Day:+7, ЮЗ 2м/с, 752,  Evening:+5, 752
2012-11-06, Day:+11, ЮВ 1м/с, 748,  Evening:+10, 746
2012-11-07, Day:+8, Ш, 744,  Evening:+5, 745
2012-11-08, Day:+6, ЮЗ 3м/с, 743,  Evening:+4, 743
2012-11-09, Day:+3, ЮЗ 2м/с, 748,  Evening:+5, 748
2012-11-10, Day:+2, СЗ 3м/с, 749,  Evening:-1, 752
2012-11-11, Day:0, С 3м/с, 760,  Evening:-1, 760
2012-11-12, Day:-1, ЮЗ 2м/с, 761,  Evening:-1, 759
2012-11-13, Day:0, ЮЗ 4м/с, 753,  Evening:+1, 752
2012-11-14, Day:+1, СЗ 3м/с, 748,  Evening:0, 748
2012-11-15, Day:0, З 1м/с, 748,  Evening:-1, 746
2012-11-16, Day:+4, ЮЗ 5м/с, 737,  Evening:+1, 740
2012-11-17, Day:+1, С 2м/с, 750,  Evening:0, 754
2012-11-18, Day:0, З 2м/с, 758,  Evening:0, 759
2012-11-19, Day:+1, ЮЗ 2м/с, 760,  Evening:+1, 761
2012-11-20, Day:+2, З 2м/с, 762,  Evening:+2, 762
2012-11-21, Day:+2, З 2м/с, 762,  Evening:+2, 763
2012-11-22, Day:+1, З 1м/с, 765,  Evening:0, 765
2012-11-23, Day:+1, ЮЗ 3м/с, 764,  Evening:0, 763
