2013-12-01, Day:-4, ЮЗ 1м/с, 747,  Evening:-2, 744
2013-12-02, Day:0, ЮЗ 3м/с, 733,  Evening:+1, 734
2013-12-03, Day:-5, С 3м/с, 743,  Evening:-9, 747
2013-12-04, Day:-8, З 2м/с, 744,  Evening:-5, 742
2013-12-05, Day:-2, Ю 4м/с, 738,  Evening:-2, 737
2013-12-06, Day:0, З 3м/с, 738,  Evening:-3, 743
2013-12-07, Day:-1, Ю 3м/с, 742,  Evening:-1, 744
2013-12-08, Day:-2, ЮВ 1м/с, 743,  Evening:-3, 742
2013-12-09, Day:-5, З 2м/с, 741,  Evening:-5, 741
2013-12-10, Day:-7, ЮЗ 1м/с, 745,  Evening:-7, 748
2013-12-11, Day:-8, СВ 1м/с, 755,  Evening:-8, 757
2013-12-12, Day:-10, ЮЗ 2м/с, 756,  Evening:-9, 755
2013-12-13, Day:-7, ЮЗ 4м/с, 744,  Evening:-9, 739
2013-12-14, Day:-5, З 3м/с, 731,  Evening:-5, 732
2013-12-15, Day:-9, СЗ 4м/с, 741,  Evening:-10, 743
2013-12-16, Day:-13, СЗ 3м/с, 751,  Evening:-11, 753
2013-12-17, Day:-9, Ю 1м/с, 753,  Evening:-7, 750
2013-12-18, Day:0, З 2м/с, 741,  Evening:+1, 744
2013-12-19, Day:0, СЗ 2м/с, 748,  Evening:-4, 752
2013-12-20, Day:-9, З 1м/с, 759,  Evening:-8, 760
2013-12-21, Day:-3, ЮЗ 3м/с, 756,  Evening:-3, 753
2013-12-22, Day:-2, ЮЗ 1м/с, 747,  Evening:-2, 749
2013-12-23, Day:0, ЮЗ 2м/с, 750,  Evening:0, 749
2013-12-24, Day:0, З 3м/с, 746,  Evening:+1, 748
2013-12-25, Day:+2, З 2м/с, 756,  Evening:-1, 757
2013-12-26, Day:-2, ЮЗ 2м/с, 759,  Evening:-3, 759
2013-12-27, Day:-6, З 1м/с, 761,  Evening:-9, 762
2013-12-28, Day:-8, ЮЗ 1м/с, 763,  Evening:-7, 763
2013-12-29, Day:-5, Ю 1м/с, 762,  Evening:-8, 761
2013-12-30, Day:-4, ЮЗ 1м/с, 757,  Evening:-3, 756
2013-11-01, Day:+5, З 3м/с, 753,  Evening:+2, 755
2013-11-02, Day:+6, ЮЗ 1м/с, 754,  Evening:+6, 752
2013-11-03, Day:+8, ЮЗ 2м/с, 751,  Evening:+8, 750
2013-11-04, Day:+9, Ю 2м/с, 750,  Evening:+8, 749
2013-11-05, Day:+10, З 1м/с, 751,  Evening:+9, 752
2013-11-06, Day:+12, ЮЗ 2м/с, 753,  Evening:+9, 755
2013-11-07, Day:+12, ЮВ 2м/с, 753,  Evening:+9, 752
2013-11-08, Day:+10, ЮВ 2м/с, 749,  Evening:+7, 749
2013-11-09, Day:+8, З 2м/с, 755,  Evening:+2, 757
2013-11-10, Day:+8, Ю 2м/с, 759,  Evening:+8, 760
2013-11-11, Day:+8, Ю 2м/с, 760,  Evening:+5, 759
2013-11-12, Day:+5, З 2м/с, 757,  Evening:+5, 757
2013-11-13, Day:+6, ЮВ 2м/с, 756,  Evening:+5, 754
2013-11-14, Day:+7, ЮВ 2м/с, 747,  Evening:+5, 745
2013-11-15, Day:+3, С 1м/с, 743,  Evening:+2, 745
2013-11-16, Day:+1, З 2м/с, 747,  Evening:0, 746
2013-11-17, Day:+2, ЮЗ 4м/с, 742,  Evening:+3, 739
2013-11-18, Day:+3, СЗ 5м/с, 742,  Evening:+2, 748
2013-11-19, Day:+2, СЗ 1м/с, 764,  Evening:+1, 765
2013-11-20, Day:+2, ЮЗ 3м/с, 766,  Evening:0, 765
2013-11-21, Day:+2, ЮВ 1м/с, 763,  Evening:+1, 763
