2014-12-01, Day:-7, З 2м/с, 753,  Evening:-7, 752
2014-12-02, Day:-13, С 1м/с, 754,  Evening:-16, 756
2014-12-03, Day:-12, З 4м/с, 755,  Evening:-9, 750
2014-12-04, Day:-4, З 4м/с, 746,  Evening:-3, 744
2014-12-05, Day:-4, СЗ 2м/с, 752,  Evening:-12, 756
2014-12-06, Day:-11, З 1м/с, 765,  Evening:-11, 764
2014-12-07, Day:-4, З 5м/с, 762,  Evening:-8, 764
2014-12-08, Day:-11, В 3м/с, 764,  Evening:-11, 763
2014-12-09, Day:-9, ЮВ 2м/с, 763,  Evening:-8, 763
2014-12-10, Day:-3, ЮЗ 1м/с, 762,  Evening:-5, 761
2014-12-11, Day:-7, В 2м/с, 758,  Evening:-6, 758
2014-12-12, Day:-5, ЮВ 2м/с, 755,  Evening:-1, 754
2014-12-13, Day:-5, В 2м/с, 752,  Evening:-3, 752
2014-12-14, Day:-2, ЮЗ 1м/с, 754,  Evening:-3, 755
2014-12-15, Day:-3, Ш, 757,  Evening:-2, 759
2014-12-16, Day:-3, ЮВ 1м/с, 759,  Evening:-4, 760
2014-12-17, Day:-7, ЮВ 1м/с, 759,  Evening:-6, 758
2014-12-18, Day:-5, Ю 2м/с, 752,  Evening:-4, 751
2014-12-19, Day:-2, З 1м/с, 748,  Evening:-4, 748
2014-12-20, Day:-2, Ю 3м/с, 746,  Evening:-1, 743
2014-12-21, Day:+1, З 3м/с, 744,  Evening:-1, 745
2014-12-22, Day:0, З 1м/с, 739,  Evening:-1, 740
2014-12-23, Day:-4, ЮВ 1м/с, 740,  Evening:-2, 737
2014-12-24, Day:0, ЮЗ 2м/с, 727,  Evening:-3, 729
2014-12-25, Day:-6, ЮЗ 2м/с, 737,  Evening:-7, 732
2014-12-26, Day:-11, З 3м/с, 744,  Evening:-13, 749
2014-12-27, Day:-13, З 2м/с, 756,  Evening:-17, 758
2014-12-28, Day:-9, В 5м/с, 750,  Evening:-7, 745
2014-12-29, Day:-9, З 4м/с, 742,  Evening:-13, 747
2014-12-30, Day:-12, В 3м/с, 746,  Evening:-10, 740
2014-11-01, Day:+4, Ш, 745,  Evening:+2, 744
2014-11-02, Day:+2, СВ 3м/с, 745,  Evening:+1, 746
2014-11-03, Day:+4, СВ 1м/с, 750,  Evening:+2, 752
2014-11-04, Day:-1, С 1м/с, 753,  Evening:-2, 752
