2016-12-01, Day:-9, Ю 1м/с, 752,  Evening:-11, 753
2016-12-02, Day:-9, ЮВ 2м/с, 752,  Evening:-9, 749
2016-12-03, Day:-7, С 1м/с, 738,  Evening:-9, 740
2016-12-04, Day:-9, СЗ 3м/с, 747,  Evening:-11, 749
2016-12-05, Day:-10, З 1м/с, 749,  Evening:-11, 748
2016-12-06, Day:-6, ЮЗ 3м/с, 738,  Evening:-4, 739
2016-12-07, Day:-15, СЗ 3м/с, 745,  Evening:-18, 747
2016-12-08, Day:-16, Ю 2м/с, 746,  Evening:-13, 742
2016-12-09, Day:-7, З 1м/с, 737,  Evening:-6, 737
2016-12-10, Day:-5, З 2м/с, 730,  Evening:-4, 730
2016-12-11, Day:-11, СЗ 3м/с, 737,  Evening:-15, 740
2016-12-12, Day:-15, З 1м/с, 743,  Evening:-16, 743
2016-12-13, Day:-15, СЗ 2м/с, 746,  Evening:-17, 749
2016-12-14, Day:-18, З 2м/с, 751,  Evening:-19, 752
2016-12-15, Day:-18, ЮЗ 1м/с, 751,  Evening:-20, 752
2016-12-16, Day:-21, С 2м/с, 757,  Evening:-23, 758
2016-12-17, Day:-19, З 3м/с, 755,  Evening:-16, 752
2016-12-18, Day:-9, З 3м/с, 746,  Evening:-7, 746
2016-12-19, Day:-2, З 2м/с, 743,  Evening:-3, 743
2016-12-20, Day:-21, С 1м/с, 758,  Evening:-25, 760
2016-12-21, Day:-15, З 3м/с, 751,  Evening:-10, 748
2016-12-22, Day:-19, СВ 2м/с, 758,  Evening:-19, 761
2016-12-23, Day:-12, Ю 1м/с, 758,  Evening:-9, 757
2016-12-24, Day:-7, ЮЗ 2м/с, 752,  Evening:-7, 752
2016-12-25, Day:-8, В 1м/с, 753,  Evening:-8, 753
2016-12-26, Day:-7, З 1м/с, 752,  Evening:-7, 750
2016-12-27, Day:-4, ЮЗ 4м/с, 746,  Evening:-5, 746
2016-12-28, Day:-3, ЮЗ 2м/с, 749,  Evening:-3, 751
2016-12-29, Day:-2, З 2м/с, 757,  Evening:-3, 758
2016-12-30, Day:-5, З 1м/с, 755,  Evening:-5, 754
2016-11-01, Day:-2, СЗ 2м/с, 746,  Evening:-4, 748
2016-11-02, Day:-4, С 1м/с, 751,  Evening:-6, 753
2016-11-03, Day:-4, В 2м/с, 755,  Evening:-5, 755
2016-11-04, Day:0, ЮЗ 2м/с, 746,  Evening:+1, 747
2016-11-05, Day:+1, ЮЗ 2м/с, 748,  Evening:-2, 748
2016-11-06, Day:-1, З 3м/с, 753,  Evening:-2, 755
2016-11-07, Day:-2, ЮВ 4м/с, 752,  Evening:+1, 750
2016-11-08, Day:+7, ЮЗ 2м/с, 747,  Evening:+7, 749
2016-11-09, Day:+2, В 2м/с, 752,  Evening:+2, 752
2016-11-10, Day:+1, В 3м/с, 752,  Evening:0, 753
2016-11-11, Day:+6, В 2м/с, 748,  Evening:+7, 749
2016-11-12, Day:+2, ЮЗ 3м/с, 752,  Evening:+1, 752
2016-11-13, Day:-2, З 2м/с, 755,  Evening:-3, 757
2016-11-14, Day:-2, В 1м/с, 759,  Evening:-4, 759
2016-11-15, Day:-6, СВ 1м/с, 761,  Evening:-9, 762
2016-11-16, Day:-7, ЮВ 1м/с, 761,  Evening:-9, 762
2016-11-17, Day:-6, ЮВ 1м/с, 763,  Evening:-8, 764
2016-11-18, Day:-6, ЮВ 1м/с, 765,  Evening:-9, 767
2016-11-19, Day:-8, ЮВ 2м/с, 773,  Evening:-10, 775
2016-11-20, Day:-11, ЮВ 2м/с, 780,  Evening:-13, 781
2016-11-21, Day:-9, ЮЗ 2м/с, 779,  Evening:-11, 778
2016-11-22, Day:-5, З 2м/с, 774,  Evening:-8, 773
2016-11-23, Day:-3, З 4м/с, 767,  Evening:-6, 765
2016-11-24, Day:-1, З 4м/с, 757,  Evening:-4, 755
2016-11-25, Day:-2, ЮЗ 3м/с, 747,  Evening:-2, 746
2016-11-26, Day:-2, З 3м/с, 740,  Evening:-2, 743
2016-11-27, Day:-2, ЮЗ 3м/с, 738,  Evening:-1, 740
2016-11-28, Day:+2, Ю 2м/с, 740,  Evening:+4, 738
2016-11-29, Day:0, ЮЗ 3м/с, 745,  Evening:-1, 746
