2017-12-01, Day:-3, Ш, 767,  Evening:-4, 767
2017-12-02, Day:-5, Ю 1м/с, 767,  Evening:-6, 767
2017-12-03, Day:-5, Ю 3м/с, 763,  Evening:-5, 762
2017-12-04, Day:-3, Ю 3м/с, 756,  Evening:-3, 753
2017-12-05, Day:-4, ЮВ 2м/с, 750,  Evening:-4, 749
2017-12-06, Day:-5, В 2м/с, 747,  Evening:-4, 746
2017-12-07, Day:-4, В 1м/с, 742,  Evening:-5, 743
2017-12-08, Day:-4, СВ 1м/с, 746,  Evening:-4, 748
2017-12-09, Day:-6, З 2м/с, 752,  Evening:-7, 753
2017-12-10, Day:-6, В 2м/с, 756,  Evening:-7, 757
2017-12-11, Day:-3, ЮВ 2м/с, 758,  Evening:-3, 758
2017-12-12, Day:-4, В 3м/с, 758,  Evening:-4, 758
2017-12-13, Day:, Ш, ,  Evening:-5, 758
2017-12-14, Day:-5, В 2м/с, 760,  Evening:-7, 761
2017-12-15, Day:-9, В 3м/с, 761,  Evening:-10, 761
2017-12-16, Day:-10, В 2м/с, 763,  Evening:-11, 764
2017-12-17, Day:-10, ЮВ 3м/с, 763,  Evening:-12, 762
2017-12-18, Day:-11, В 3м/с, 764,  Evening:-13, 763
2017-12-19, Day:-12, В 2м/с, 762,  Evening:-12, 762
2017-12-20, Day:-9, ЮЗ 1м/с, 762,  Evening:-9, 763
2017-12-21, Day:-5, В 1м/с, 762,  Evening:-6, 761
2017-12-22, Day:-8, ЮВ 2м/с, 753,  Evening:-7, 750
2017-12-23, Day:-6, ЮЗ 2м/с, 748,  Evening:-6, 747
2017-12-24, Day:-6, Ю 2м/с, 737,  Evening:-6, 733
2017-12-25, Day:-5, З 1м/с, 726,  Evening:-3, 729
2017-12-26, Day:-7, З 2м/с, 745,  Evening:-8, 745
2017-12-27, Day:+2, З 3м/с, 749,  Evening:+2, 749
2017-12-28, Day:+2, ЮЗ 2м/с, 752,  Evening:+1, 753
2017-12-29, Day:+1, Ю 1м/с, 758,  Evening:0, 759
2017-12-30, Day:+1, В 2м/с, 758,  Evening:0, 757
2017-11-01, Day:+3, ЮЗ 4м/с, 735,  Evening:+2, 739
2017-11-02, Day:+2, З 2м/с, 742,  Evening:+1, 743
2017-11-03, Day:+2, З 2м/с, 747,  Evening:+1, 749
2017-11-04, Day:+2, З 3м/с, 749,  Evening:+2, 752
2017-11-05, Day:+1, С 1м/с, 756,  Evening:+1, 757
2017-11-06, Day:+1, З 2м/с, 759,  Evening:+2, 761
2017-11-07, Day:+2, З 2м/с, 761,  Evening:+1, 759
2017-11-08, Day:+3, СЗ 2м/с, 756,  Evening:+2, 757
2017-11-09, Day:+2, СЗ 1м/с, 760,  Evening:0, 760
2017-11-10, Day:-1, ЮЗ 1м/с, 758,  Evening:-1, 758
2017-11-11, Day:+2, В 2м/с, 756,  Evening:+1, 755
2017-11-12, Day:+2, ЮВ 1м/с, 752,  Evening:+2, 751
2017-11-13, Day:+6, Ю 3м/с, 747,  Evening:+4, 749
2017-11-14, Day:+2, ЮЗ 1м/с, 754,  Evening:+2, 752
2017-11-16, Day:+2, З 2м/с, 753,  Evening:+1, 750
2017-11-17, Day:+2, З 2м/с, 753,  Evening:+1, 755
2017-11-18, Day:+2, З 2м/с, 755,  Evening:+1, 756
2017-11-19, Day:+1, В 2м/с, 755,  Evening:+1, 754
2017-11-20, Day:+4, ЮВ 2м/с, 752,  Evening:+1, 752
2017-11-21, Day:+3, В 2м/с, 746,  Evening:0, 745
2017-11-22, Day:+5, В 4м/с, 740,  Evening:+3, 740
2017-11-23, Day:+4, З 2м/с, 744,  Evening:+3, 748
2017-11-24, Day:+1, С 1м/с, 749,  Evening:+3, 749
2017-11-25, Day:-2, З 2м/с, 756,  Evening:, 
2017-11-28, Day:-1, З 1м/с, 761,  Evening:-1, 761
2017-11-29, Day:-2, В 1м/с, 761,  Evening:-2, 762
2017-10-01, Day:+7, СВ 3м/с, 755,  Evening:+6, 755
2017-10-02, Day:+7, С 2м/с, 756,  Evening:+2, 757
2017-10-03, Day:+8, СЗ 2м/с, 757,  Evening:+7, 757
2017-10-04, Day:+4, З 2м/с, 758,  Evening:+4, 758
2017-10-05, Day:+12, Ю 1м/с, 754,  Evening:+9, 752
2017-10-06, Day:+12, ЮВ 2м/с, 749,  Evening:+13, 749
2017-10-07, Day:+11, ЮВ 2м/с, 752,  Evening:+10, 752
2017-10-08, Day:+15, ЮВ 1м/с, 755,  Evening:+10, 755
2017-10-09, Day:+17, В 2м/с, 755,  Evening:+9, 755
2017-10-10, Day:+17, ЮВ 2м/с, 752,  Evening:+11, 752
2017-10-11, Day:+11, З 1м/с, 752,  Evening:+7, 752
2017-10-12, Day:+12, Ю 1м/с, 752,  Evening:+6, 751
2017-10-13, Day:+11, ЮВ 1м/с, 749,  Evening:+10, 748
2017-10-14, Day:+10, В 2м/с, 745,  Evening:+10, 743
2017-10-15, Day:+9, ЮВ 2м/с, 740,  Evening:+7, 739
2017-10-16, Day:+7, ЮВ 1м/с, 737,  Evening:+7, 740
2017-10-17, Day:+9, СЗ 2м/с, 742,  Evening:+8, 743
2017-10-18, Day:+8, З 3м/с, 745,  Evening:+8, 743
2017-10-19, Day:+13, СЗ 3м/с, 743,  Evening:+6, 747
2017-10-20, Day:+6, СЗ 2м/с, 749,  Evening:+4, 750
2017-10-21, Day:+2, С 1м/с, 749,  Evening:-1, 749
2017-10-22, Day:+3, С 1м/с, 748,  Evening:+1, 749
2017-10-23, Day:+2, З 2м/с, 751,  Evening:-1, 752
2017-10-24, Day:+1, СЗ 1м/с, 758,  Evening:-1, 761
2017-10-25, Day:+1, В 2м/с, 763,  Evening:-2, 763
2017-10-26, Day:-1, В 2м/с, 755,  Evening:-2, 753
2017-10-27, Day:-1, З 1м/с, 748,  Evening:-2, 748
2017-10-28, Day:0, ЮВ 1м/с, 745,  Evening:-1, 746
2017-10-29, Day:+6, Ю 4м/с, 737,  Evening:+8, 737
2017-10-30, Day:+7, В 2м/с, 737,  Evening:+6, 728
2017-09-01, Day:+27, СВ 3м/с, 750,  Evening:+22, 749
2017-09-02, Day:+28, ЮВ 1м/с, 746,  Evening:+22, 745
2017-09-03, Day:+23, З 3м/с, 743,  Evening:+15, 743
2017-09-04, Day:+20, СЗ 3м/с, 746,  Evening:+13, 748
2017-09-05, Day:+13, СВ 1м/с, 751,  Evening:+12, 752
2017-09-06, Day:+14, В 1м/с, 750,  Evening:+13, 750
2017-09-07, Day:+27, ЮВ 3м/с, 746,  Evening:+21, 744
2017-09-08, Day:+16, СЗ 2м/с, 741,  Evening:+15, 743
2017-09-09, Day:+14, З 2м/с, 744,  Evening:+13, 744
2017-09-10, Day:+15, СЗ 3м/с, 748,  Evening:+12, 750
2017-09-11, Day:+13, СЗ 1м/с, 755,  Evening:+12, 754
2017-09-12, Day:+24, З 3м/с, 751,  Evening:+18, 751
2017-09-13, Day:+27, ЮЗ 2м/с, 750,  Evening:+21, 749
2017-09-14, Day:+28, ЮЗ 2м/с, 743,  Evening:+19, 746
2017-09-15, Day:+25, З 2м/с, 749,  Evening:+21, 749
2017-09-16, Day:+24, З 2м/с, 751,  Evening:+16, 752
2017-09-17, Day:+21, СЗ 2м/с, 755,  Evening:+12, 755
2017-09-18, Day:+24, ЮЗ 1м/с, 752,  Evening:+20, 751
2017-09-19, Day:+30, ЮЗ 3м/с, 749,  Evening:+25, 750
2017-09-20, Day:+21, С 1м/с, 754,  Evening:+15, 755
2017-09-21, Day:+18, СВ 2м/с, 756,  Evening:+13, 758
2017-09-22, Day:+12, СВ 3м/с, 761,  Evening:+9, 762
2017-09-23, Day:+16, СВ 2м/с, 764,  Evening:+8, 763
2017-09-24, Day:+12, СВ 2м/с, 763,  Evening:+6, 764
2017-09-25, Day:+8, С 1м/с, 762,  Evening:+7, 761
2017-09-26, Day:+8, З 2м/с, 759,  Evening:+7, 760
2017-09-27, Day:+9, СВ 2м/с, 762,  Evening:+6, 764
2017-09-28, Day:+9, С 1м/с, 764,  Evening:+7, 763
2017-09-29, Day:+8, З 2м/с, 757,  Evening:+5, 755
2017-08-01, Day:+27, СЗ 3м/с, 746,  Evening:+23, 747
2017-08-02, Day:+27, СЗ 3м/с, 749,  Evening:+22, 749
2017-08-03, Day:+27, ЮЗ 2м/с, 748,  Evening:+25, 746
2017-08-04, Day:+28, З 2м/с, 745,  Evening:+24, 745
2017-08-05, Day:+31, З 3м/с, 742,  Evening:+25, 743
2017-08-06, Day:+27, З 4м/с, 748,  Evening:+22, 749
2017-08-07, Day:+28, С 2м/с, 752,  Evening:+23, 750
2017-08-08, Day:+28, С 3м/с, 748,  Evening:+20, 751
2017-08-09, Day:+25, С 2м/с, 752,  Evening:+20, 752
2017-08-10, Day:+23, С 2м/с, 754,  Evening:+17, 754
2017-08-11, Day:+25, ЮЗ 2м/с, 752,  Evening:+22, 749
2017-08-12, Day:+26, З 3м/с, 746,  Evening:+21, 748
2017-08-13, Day:+23, СВ 2м/с, 750,  Evening:+19, 751
2017-08-14, Day:+22, СВ 2м/с, 752,  Evening:+18, 752
2017-08-15, Day:+25, СВ 1м/с, 753,  Evening:+17, 754
2017-08-16, Day:+26, С 1м/с, 756,  Evening:+21, 756
2017-08-17, Day:+26, С 1м/с, 757,  Evening:+21, 757
2017-08-18, Day:+25, СВ 2м/с, 757,  Evening:+21, 756
2017-08-19, Day:+26, С 2м/с, 756,  Evening:+21, 757
2017-08-20, Day:+27, З 2м/с, 757,  Evening:+17, 757
2017-08-21, Day:+28, СЗ 1м/с, 755,  Evening:+25, 754
2017-08-22, Day:+30, В 3м/с, 753,  Evening:+24, 753
2017-08-23, Day:+33, ЮВ 3м/с, 753,  Evening:+26, 752
2017-08-24, Day:+30, ЮВ 2м/с, 751,  Evening:+25, 750
2017-08-25, Day:+24, Ю 1м/с, 751,  Evening:+22, 751
2017-08-26, Day:+24, З 3м/с, 749,  Evening:+16, 749
2017-08-27, Day:+24, З 3м/с, 746,  Evening:+17, 747
