2019-12-01, Day:-2, В 2м/с, 742,  Evening:-2, 743
2019-12-02, Day:-5, З 1м/с, 753,  Evening:-7, 755
2019-12-03, Day:-6, ЮВ 2м/с, 752,  Evening:-7, 751
2019-12-04, Day:-5, СЗ 1м/с, 744,  Evening:-7, 746
2019-12-05, Day:-3, З 2м/с, 746,  Evening:-2, 747
2019-12-06, Day:+1, ЮЗ 4м/с, 746,  Evening:0, 746
2019-12-07, Day:-1, З 3м/с, 749,  Evening:-1, 750
2019-12-08, Day:+2, ЮЗ 3м/с, 752,  Evening:+2, 752
2019-12-09, Day:+1, Ю 1м/с, 752,  Evening:-1, 753
2019-12-10, Day:-3, З 2м/с, 753,  Evening:-3, 754
2019-12-11, Day:-3, З 2м/с, 751,  Evening:-2, 751
2019-12-12, Day:-4, С 2м/с, 757,  Evening:-6, 758
2019-12-13, Day:-9, В 1м/с, 758,  Evening:-12, 759
2019-12-14, Day:-10, В 3м/с, 761,  Evening:-12, 761
2019-12-15, Day:-5, В 3м/с, 758,  Evening:-5, 758
2019-12-16, Day:-5, ЮВ 2м/с, 752,  Evening:-3, 751
2019-12-17, Day:0, ЮЗ 2м/с, 749,  Evening:+1, 749
2019-12-18, Day:+1, З 2м/с, 749,  Evening:+1, 750
2019-12-19, Day:+2, З 3м/с, 739,  Evening:+1, 736
2019-12-20, Day:-2, СЗ 4м/с, 742,  Evening:-2, 744
2019-12-21, Day:-2, С 1м/с, 752,  Evening:-4, 754
2019-12-22, Day:-3, Ю 2м/с, 755,  Evening:-5, 756
2019-12-23, Day:-5, Ю 1м/с, 756,  Evening:-5, 756
2019-12-24, Day:-8, В 3м/с, 755,  Evening:-11, 754
2019-12-25, Day:-9, В 2м/с, 751,  Evening:-9, 749
2019-12-26, Day:-8, В 2м/с, 746,  Evening:-8, 745
2019-12-27, Day:-7, СЗ 2м/с, 743,  Evening:-7, 743
2019-12-28, Day:-6, СЗ 3м/с, 749,  Evening:-10, 751
2019-12-29, Day:-7, С 2м/с, 757,  Evening:-10, 758
2019-12-30, Day:-10, З 2м/с, 755,  Evening:-7, 750
2019-11-01, Day:-5, СЗ 2м/с, 753,  Evening:-6, 755
2019-11-02, Day:-1, ЮЗ 2м/с, 755,  Evening:-1, 757
2019-11-03, Day:-2, ЮВ 1м/с, 758,  Evening:-2, 758
2019-11-04, Day:+2, ЮЗ 3м/с, 757,  Evening:0, 756
