2021-12-01, Day:+2, В 1м/с, 729,  Evening:0, 732
2021-12-02, Day:-1, ЮЗ 2м/с, 741,  Evening:-2, 743
2021-12-03, Day:+2, ЮЗ 2м/с, 746,  Evening:+3, 749
2021-12-04, Day:+4, Ю 2м/с, 744,  Evening:+1, 746
2021-12-05, Day:-2, Ш, 750,  Evening:-3, 751
2021-12-06, Day:-4, СВ 1м/с, 757,  Evening:-4, 759
2021-12-07, Day:-10, В 3м/с, 762,  Evening:-12, 762
2021-12-08, Day:0, В 1м/с, 758,  Evening:0, 758
2021-12-09, Day:-2, В 3м/с, 754,  Evening:-2, 754
2021-12-10, Day:-2, С 2м/с, 755,  Evening:-3, 758
2021-12-11, Day:-7, СВ 1м/с, 762,  Evening:-8, 764
2021-12-12, Day:-4, В 1м/с, 769,  Evening:-6, 769
2021-12-13, Day:-7, В 2м/с, 767,  Evening:-7, 767
2021-12-14, Day:-4, Ю 2м/с, 761,  Evening:-4, 761
2021-12-15, Day:-5, Ю 1м/с, 757,  Evening:-4, 755
2021-12-16, Day:-3, ЮЗ 1м/с, 749,  Evening:-2, 747
2021-12-17, Day:-2, ЮЗ 1м/с, 746,  Evening:-2, 747
2021-12-18, Day:-2, В 1м/с, 743,  Evening:-3, 740
2021-12-19, Day:-3, ЮЗ 2м/с, 737,  Evening:-4, 736
2021-12-20, Day:0, ЮЗ 1м/с, 734,  Evening:0, 737
2021-12-21, Day:-2, З 1м/с, 739,  Evening:-6, 740
2021-12-22, Day:-13, В 1м/с, 743,  Evening:-15, 743
2021-12-23, Day:-19, З 1м/с, 748,  Evening:-21, 750
2021-12-24, Day:-21, ЮЗ 1м/с, 755,  Evening:-22, 755
2021-12-25, Day:-13, В 4м/с, 751,  Evening:-6, 745
2021-12-26, Day:-7, Ш, 745,  Evening:-14, 746
2021-12-27, Day:-11, З 2м/с, 750,  Evening:-14, 752
2021-12-28, Day:-15, Ш, 757,  Evening:-18, 758
2021-12-29, Day:-20, ЮВ 1м/с, 762,  Evening:-20, 762
2021-12-30, Day:-12, В 2м/с, 757,  Evening:-11, 756
2021-11-01, Day:+10, З 2м/с, 755,  Evening:+7, 754
2021-11-02, Day:+6, В 2м/с, 758,  Evening:+6, 759
2021-11-03, Day:+2, В 2м/с, 764,  Evening:-1, 765
2021-11-04, Day:+1, В 2м/с, 767,  Evening:+2, 766
2021-11-05, Day:+2, ЮВ 1м/с, 765,  Evening:+2, 764
2021-11-06, Day:+6, Ю 2м/с, 756,  Evening:+5, 753
2021-11-07, Day:+6, ЮЗ 3м/с, 747,  Evening:+4, 751
2021-11-08, Day:+5, ЮВ 2м/с, 750,  Evening:+6, 747
2021-11-09, Day:+8, З 2м/с, 744,  Evening:+4, 746
2021-11-10, Day:-3, СЗ 2м/с, 757,  Evening:-4, 760
2021-11-11, Day:-1, ЮЗ 2м/с, 757,  Evening:-1, 752
