2022-09-01, Day:+25, З 1м/с, 746,  Evening:+23, 744
2022-09-02, Day:+21, З 3м/с, 748,  Evening:+15, 749
2022-09-03, Day:+17, З 2м/с, 755,  Evening:+13, 755
2022-09-04, Day:+13, С 1м/с, 752,  Evening:+9, 749
2022-09-05, Day:+14, З 3м/с, 747,  Evening:+12, 748
2022-09-06, Day:+10, В 1м/с, 745,  Evening:+9, 746
2022-09-07, Day:+14, ЮЗ 3м/с, 749,  Evening:+12, 749
2022-09-08, Day:+13, ЮЗ 4м/с, 749,  Evening:+10, 749
2022-09-09, Day:+13, СЗ 3м/с, 749,  Evening:+9, 751
2022-09-10, Day:+12, СЗ 2м/с, 754,  Evening:+8, 755
2022-09-11, Day:+13, З 2м/с, 755,  Evening:+11, 755
2022-09-12, Day:+14, В 2м/с, 755,  Evening:+12, 755
2022-09-13, Day:+18, В 2м/с, 752,  Evening:+16, 752
2022-09-14, Day:+18, В 2м/с, 748,  Evening:+12, 747
2022-09-15, Day:+16, ЮВ 1м/с, 743,  Evening:+13, 743
2022-09-16, Day:+18, Ю 1м/с, 743,  Evening:+14, 743
2022-09-17, Day:+20, Ю 1м/с, 742,  Evening:+16, 744
2022-09-18, Day:+21, В 2м/с, 748,  Evening:+19, 746
2022-09-19, Day:+27, Ю 2м/с, 746,  Evening:+23, 747
2022-09-20, Day:+16, З 1м/с, 751,  Evening:+15, 751
2022-09-21, Day:+17, В 2м/с, 749,  Evening:+19, 749
2022-09-22, Day:+26, В 1м/с, 748,  Evening:+20, 747
2022-09-23, Day:+24, В 3м/с, 743,  Evening:+20, 743
2022-09-24, Day:+17, ЮЗ 3м/с, 745,  Evening:+13, 746
2022-09-25, Day:+11, Ш, 742,  Evening:+10, 742
2022-09-26, Day:+11, З 2м/с, 746,  Evening:+9, 748
2022-09-27, Day:+13, З 1м/с, 752,  Evening:+11, 752
2022-09-28, Day:+10, В 4м/с, 748,  Evening:+10, 746
2022-09-29, Day:+12, В 1м/с, 746,  Evening:+11, 748
2022-08-01, Day:+28, СЗ 2м/с, 748,  Evening:+23, 749
2022-08-02, Day:+27, С 2м/с, 749,  Evening:+24, 749
2022-08-03, Day:+28, С 2м/с, 751,  Evening:+25, 752
2022-08-04, Day:+30, СВ 1м/с, 753,  Evening:+24, 753
2022-08-05, Day:+31, СЗ 1м/с, 754,  Evening:+24, 754
2022-08-06, Day:+30, В 2м/с, 754,  Evening:+23, 753
2022-08-07, Day:+31, З 2м/с, 752,  Evening:+23, 752
2022-08-08, Day:+32, С 2м/с, 752,  Evening:+25, 752
2022-08-09, Day:+30, С 1м/с, 752,  Evening:+22, 752
2022-08-10, Day:+32, З 2м/с, 751,  Evening:+26, 752
2022-08-11, Day:+29, С 2м/с, 753,  Evening:+23, 754
2022-08-12, Day:+27, З 2м/с, 755,  Evening:+20, 755
2022-08-13, Day:+29, СЗ 2м/с, 752,  Evening:+24, 752
2022-08-14, Day:+29, С 1м/с, 752,  Evening:+23, 753
2022-08-15, Day:+27, СВ 3м/с, 754,  Evening:+23, 754
2022-08-16, Day:+28, СВ 3м/с, 755,  Evening:+24, 755
2022-08-17, Day:+29, В 2м/с, 753,  Evening:+25, 752
2022-08-18, Day:+27, СВ 2м/с, 754,  Evening:+22, 754
2022-08-19, Day:+25, В 3м/с, 760,  Evening:+19, 761
2022-08-20, Day:+26, В 2м/с, 761,  Evening:+17, 760
2022-08-21, Day:+30, СВ 3м/с, 758,  Evening:+26, 758
2022-08-22, Day:+30, В 3м/с, 758,  Evening:+26, 758
2022-08-23, Day:+32, В 1м/с, 760,  Evening:+25, 760
2022-08-24, Day:+32, СВ 3м/с, 759,  Evening:+26, 759
2022-08-25, Day:+31, СВ 2м/с, 757,  Evening:+26, 756
2022-08-26, Day:+32, З 2м/с, 755,  Evening:+27, 755
2022-08-27, Day:+32, В 1м/с, 755,  Evening:+27, 755
2022-08-28, Day:+32, С 1м/с, 755,  Evening:+23, 754
